Age,Gender,Specialty,Email_Open_Rate,Click_Through_Rate,Webinar_Attendance,Content_Downloads,Social_Media_Interactions,Website_Visits
58,Female,Cardiology,0.6697913115459412,0.28412391691732086,6,3,10,139
44,Male,Cardiology,0.4051268119438306,0.1325893332237251,7,2,38,118
37,Male,Cardiology,0.41428861715139487,0.3894581190356228,6,18,37,163
50,Female,Pediatrics,0.7533601109832154,0.550495809514097,4,19,33,23
48,Male,Cardiology,0.9073992339573194,0.19028366787294804,0,17,37,196
52,Male,Neurology,0.8983777818386056,0.4548788092823501,6,14,49,65
40,Male,Cardiology,0.8018879912718615,0.10547585224594919,6,8,33,124
40,Male,Oncology,0.677828481538859,0.08359311875959499,8,16,17,16
53,Male,Oncology,0.17572596849554395,0.3953805105192961,2,13,29,12
53,Female,Pediatrics,0.2454658426851524,0.40141282904656916,8,14,14,120
32,Female,Oncology,0.9086987696743714,0.4643294359738342,0,0,26,160
51,Female,Neurology,0.6457861536936309,0.52195936691973,0,2,33,116
31,Male,Cardiology,0.10827734645496669,0.6843038516506474,3,15,37,27
53,Male,Pediatrics,0.1913243885794289,0.38559522639577687,8,10,32,47
59,Male,Cardiology,0.6971515921972502,0.25992170741180987,5,11,23,124
31,Female,Cardiology,0.10455542546159682,0.5668710265996574,2,9,14,24
50,Male,Neurology,0.2447272462757488,0.22604096332034823,0,15,29,128
62,Male,Oncology,0.5938604104299275,0.3353314234586634,3,7,41,37
41,Female,Oncology,0.7227056779234239,0.10099664787247287,8,5,16,48
51,Male,Cardiology,0.6867651335523405,0.06647798322004739,2,11,4,194
54,Female,Pediatrics,0.3018423785145038,0.6757214695406513,8,7,28,26
56,Female,Oncology,0.7409612992127823,0.5933870783329338,6,3,3,95
57,Female,Pediatrics,0.3135241787471201,0.5023832339609037,3,7,9,135
45,Male,Oncology,0.39285972834334093,0.31581941386927537,2,17,16,53
44,Male,Pediatrics,0.7718422646062217,0.16264130804604976,9,4,9,34
32,Male,Neurology,0.6846696091424932,0.1516840777362059,4,8,16,154
36,Male,Pediatrics,0.8643010694447602,0.21265788380698697,4,3,19,22
50,Male,Neurology,0.691851603070309,0.40699733205897826,2,16,23,34
38,Male,Neurology,0.6114777430019245,0.5144873497550405,8,8,4,77
47,Male,Pediatrics,0.18430729104528323,0.47912829486652525,3,0,33,147
33,Female,Neurology,0.4309442227534902,0.2319570330148628,4,19,5,76
54,Male,Cardiology,0.3386821309135529,0.6706624324310761,3,12,1,118
43,Female,Neurology,0.3195906790411752,0.5296329958522494,4,15,12,155
38,Male,Oncology,0.975709499277201,0.4103301341324104,6,12,42,120
55,Male,Pediatrics,0.4537879522000844,0.4476184850523289,8,13,42,120
31,Male,Cardiology,0.902841899659402,0.3227400405780634,6,2,47,43
49,Female,Pediatrics,0.6680247633975366,0.21102514317575233,4,5,10,120
57,Female,Oncology,0.8153301731874836,0.28138224112332,9,17,46,17
36,Female,Oncology,0.5523733837946729,0.5425999718018398,9,18,22,177
37,Female,Oncology,0.6192134961637232,0.05935576760934132,6,4,15,122
64,Male,Neurology,0.5432659244369775,0.12544721632949554,9,14,30,92
43,Female,Neurology,0.27571868901824004,0.07990171731413928,4,1,10,51
46,Male,Pediatrics,0.7502069037353548,0.07647372150733059,2,9,15,178
33,Male,Pediatrics,0.35269512619677024,0.6060493796071547,6,17,7,110
31,Female,Cardiology,0.12188436978830847,0.5073776085970153,1,12,3,15
35,Female,Cardiology,0.680925066316451,0.35821298890676134,8,4,39,189
33,Female,Pediatrics,0.25939961146634405,0.11359220442315096,9,0,3,35
58,Female,Neurology,0.9464127259176228,0.36955031882594097,9,0,24,73
47,Female,Oncology,0.9585357193023286,0.35775665100736764,0,17,2,196
55,Female,Pediatrics,0.9233779511984037,0.16258121544150986,5,14,31,193
63,Female,Cardiology,0.43314283022989997,0.33200357200468245,6,16,2,68
39,Female,Neurology,0.11391095487598069,0.3090280773582927,7,10,26,118
43,Male,Pediatrics,0.9354867063289528,0.4503025637339406,9,16,28,130
60,Female,Pediatrics,0.4853657334855829,0.4628108730639684,8,12,31,42
44,Female,Neurology,0.9699893371393026,0.07944760635182893,1,0,49,190
37,Male,Pediatrics,0.9672579793803275,0.29349819950720624,9,1,18,159
43,Female,Neurology,0.8677085099206241,0.4568089452142536,1,8,20,30
52,Male,Oncology,0.36500400286262713,0.37703856807705693,4,2,4,79
50,Male,Neurology,0.4465879557417327,0.6067183967724095,4,0,17,121
45,Female,Neurology,0.8660230043651712,0.4781508605523142,5,15,27,13
47,Male,Neurology,0.38522980464064993,0.15590737760292928,2,5,41,103
53,Male,Pediatrics,0.2525434720174833,0.0958696858102794,7,16,21,84
55,Male,Pediatrics,0.6011211362125152,0.4675725308341051,0,4,20,199
54,Male,Neurology,0.9425392967447028,0.06723235185205417,5,4,5,71
58,Female,Pediatrics,0.7264268170074757,0.4307541278277511,3,5,0,103
44,Male,Cardiology,0.6130550530804285,0.6611496569262224,0,2,4,104
30,Female,Cardiology,0.1874588443936917,0.4240582156193213,6,4,40,161
54,Male,Pediatrics,0.6535065040292528,0.3023104520342392,8,4,11,64
36,Male,Pediatrics,0.9910484650938369,0.4681373419875295,3,9,25,146
38,Male,Neurology,0.22607561371287163,0.34786437881948573,3,9,45,140
53,Male,Oncology,0.5664966871273631,0.40465091305535766,5,18,33,40
30,Female,Pediatrics,0.8896357647351599,0.6619521257047413,2,16,48,49
